CPE,GSM Tag
cpe:/o:3com,gsm_system_3com
cpe:/o:alcatel,gsm_system_alcatel
cpe:/o:apple,gsm_system_apple
cpe:/o:apple:iphone,gsm_system_iphone
cpe:/o:apple:mac_os,gsm_system_mac
cpe:/o:bluecoat,gsm_system_bloecoat
cpe:/o:brocade,gsm_system_brocade
cpe:/o:canonical,gsm_system_ubuntu
cpe:/o:centos,gsm_system_centos
cpe:/o:cisco:ios,gsm_system_cisco_networking
cpe:/o:cisco,gsm_system_cisco
cpe:/o:compaq,gsm_system_compaq
cpe:/o:conectiva,gsm_system_connectiva
cpe:/o:corel,gsm_system_corel
cpe:/o:cray,gsm_system_cray
cpe:/o:debian,gsm_system_debian
cpe:/o:engardelinux,gsm_system_engardelinux
cpe:/o:extremenetworks,gsm_system_extremenetworks
cpe:/o:f5,gsm_system_f5
cpe:/o:fedoraproject,gsm_system_fedora
cpe:/o:freebsd,gsm_system_freebsd
cpe:/o:freenas,gsm_system_freenas
cpe:/o:gentoo,gsm_system_gentoo
cpe:/o:google:android,gsm_system_android
cpe:/o:greenbone,gsm_system_gsm
cpe:/o:hp:jetdirect,gsm_system_printserver
cpe:/o:hp,gsm_system_hp
cpe:/o:ibm,gsm_system_ibm
cpe:/o:juniper,gsm_system_juniper
cpe:/o:linux,gsm_system_linux
cpe:/o:mandrakesoft,gsm_system_mandrakesoft
cpe:/o:mandriva,gsm_system_mandriva
cpe:/o:microsoft:ms-dos,gsm_system_dos
cpe:/o:microsoft:windows-9x,gsm_system_win9x
cpe:/o:microsoft:windows-ce,gsm_system_wince
cpe:/o:microsoft:windows_mobile,gsm_system_windows_mobile
cpe:/o:microsoft:windows_2000,gsm_system_win2k
cpe:/o:microsoft:windows_vista,gsm_system_vista
cpe:/o:microsoft:windows-nt,gsm_system_winnt
cpe:/o:microsoft:windows_nt,gsm_system_winnt
cpe:/o:microsoft:windows_server_2003,gsm_system_win2003
cpe:/o:microsoft:windows_2003,gsm_system_win2003
cpe:/o:microsoft:windows_7,gsm_system_win7
cpe:/o:microsoft:windows_server_2008,gsm_system_win2008
cpe:/o:microsoft:windows_2008,gsm_system_win2008
cpe:/o:microsoft:windows_xp,gsm_system_winxp
cpe:/o:microsoft:windows,gsm_system_windows_unknown
cpe:/o:microsoft,gsm_system_microsoft
cpe:/o:nec,gsm_system_nec
cpe:/o:netbsd,gsm_system_netbsd
cpe:/o:nokia,gsm_system_nokia
cpe:/o:novell:netware,gsm_system_netware
cpe:/o:novell,gsm_system_novell
cpe:/o:openbsd,gsm_system_openbsd
cpe:/o:redhat,gsm_system_redhat
cpe:/o:rim:blackberry,gsm_system_blackberry
cpe:/o:sgi,gsm_system_sgi
cpe:/o:siemens,gsm_system_siemens
cpe:/o:slackware,gsm_system_slackware
cpe:/o:starnet,gsm_system_starnet
cpe:/o:sun,gsm_system_sun
cpe:/o:suse,gsm_system_suse
cpe:/o:trustix,gsm_system_tustix
cpe:/o:univention,gsm_system_univention
cpe:/o:vmware,gsm_system_vmware
cpe:/o:windriver,gsm_system_windriver
cpe:/o:yamaha,gsm_system_yamaha
